Id,Prediction
0,914.15405
1,657.22614
2,364.6231
3,759.849
4,1215.0652
5,750.3111
6,832.4612
7,434.08826
8,392.18
9,814.6642
10,856.9219
11,306.8888
12,620.1379
13,1133.1519
14,398.75305
15,529.69025
16,1049.48
17,552.4876
18,205.54434
19,497.1029
20,779.6953
21,709.6433
22,1543.9631
23,353.64178
24,372.5798
25,729.6523
26,1468.7306
27,1359.3806
28,321.5709
29,338.78043
30,342.93964
31,812.56506
32,499.9889
33,478.81134
34,428.32077
35,368.1324
36,328.8637
37,828.912
38,1131.1807
39,480.94156
40,1075.584
41,981.06836
42,682.75635
43,434.49896
44,380.0559
45,359.83008
46,1261.7334
47,1290.6671
48,317.29132
49,896.41644
50,906.4631
51,300.58063
52,784.5027
53,484.68106
54,263.57062
55,1311.2802
56,442.07617
57,652.64624
58,290.17282
59,718.21643
60,689.89185
61,1022.0177
62,1307.1997
63,430.0374
64,707.1555
65,800.7489
66,375.5656
67,605.8591
68,576.375
69,522.62427
70,346.11005
71,393.33243
72,472.55646
73,1280.2347
74,318.21832
75,616.3393
76,858.8724
77,909.99567
78,576.27216
79,1340.1404
80,1019.3635
81,396.35684
82,556.2025
83,1156.5315
84,1402.384
85,572.37335
86,953.5458
87,647.31116
88,494.01135
89,531.61005
90,793.6725
91,510.49597
92,232.99962
93,829.91223
94,327.79813
95,961.0223
96,1620.724
97,691.2276
98,1308.7567
99,325.60233
100,723.9751
101,1460.0315
102,1067.2515
103,562.57477
104,271.9242
105,568.24316
106,748.3735
107,351.1798
108,945.10846
109,1812.5499
110,544.8257
111,698.17664
112,1327.9647
113,400.24652
114,246.64487
115,615.4052
116,1400.4204
117,1246.9844
118,696.0138
119,475.81726
120,728.07825
121,988.6304
122,387.12027
123,346.6041
124,830.904
125,289.0632
126,516.6776
127,430.77014
128,1339.1864
129,312.1643
130,1040.261
131,827.8834
132,497.15912
133,769.751
134,960.39734
135,544.4729
136,758.2768
137,606.6144
138,889.8508
139,452.34366
140,1225.462
141,2442.1196
142,795.09546
143,540.3433
144,646.09467
145,513.7327
146,307.88547
147,465.79532
148,1345.5919
149,869.07477
150,437.98526
151,765.0987
152,1215.2513
153,1116.9196
154,301.97946
155,317.4362
156,1438.0583
157,492.15192
158,913.38245
159,630.67615
160,711.31415
161,498.00247
162,898.3723
163,672.55664
164,657.95087
165,975.60077
166,718.14514
167,483.10785
168,421.87253
169,269.98242
170,896.51263
171,1181.0272
172,1459.5364
173,573.48883
174,1129.4834
175,395.50577
176,480.52692
177,336.2964
178,683.3321
179,449.3318
180,328.18185
181,1342.7366
182,625.07214
183,619.09357
184,363.3792
185,556.28613
186,403.14847
187,399.9466
188,680.3963
189,300.2669
190,759.67847
191,891.2174
192,596.02075
193,507.07117
194,422.82748
195,717.5136
196,932.21326
197,1107.2012
198,380.75793
199,786.9948
200,656.6599
201,642.25226
202,810.7422
203,1280.6772
204,666.4499
205,624.88135
206,968.58057
207,578.71533
208,520.7367
209,406.20575
210,424.5763
211,552.25104
212,449.94986
213,831.9119
214,1332.601
215,581.6008
216,618.5298
217,526.8566
218,1319.7504
219,662.41315
220,968.94507
221,423.04285
222,530.1192
223,423.32965
224,423.32965
225,408.445
226,530.01355
227,291.06998
228,291.06998
229,315.36777
230,496.7497
231,1045.3518
232,294.72696
233,800.131
234,647.7356
235,248.07964
236,721.6454
237,1113.0259
238,593.3838
239,834.9384
240,516.47095
241,1836.5427
242,484.55334
243,1280.2404
244,517.9605
245,621.6909
246,834.77814
247,810.4857
248,233.43568
249,505.86322
250,530.49915
251,323.65015
252,1122.3201
253,1137.4973
254,239.60173
255,762.26086
256,453.22345
257,423.48877
258,398.6422
259,351.67062
260,865.2582
261,1134.523
262,375.85132
263,491.80774
264,982.0488
265,282.4919
266,380.30188
267,300.10938
268,313.14398
269,459.6897
270,1038.2084
271,966.92847
272,535.1372
273,901.1319
274,883.2993
275,876.8638
276,524.42236
277,809.53687
278,680.5792
279,428.725
280,584.43506
281,355.93683
282,313.8884
283,327.4992
284,367.42896
285,584.06635
286,935.60394
287,850.6554
288,660.71674
289,588.7207
290,298.71472
291,211.20427
292,403.95474
293,488.63202
294,488.63202
295,175.47232
296,838.9048
297,634.94116
298,634.94116
299,1220.7805
300,339.5107
301,889.6949
302,466.4849
303,254.62428
304,637.4061
305,1023.41644
306,1934.9333
307,213.59433
308,636.43774
309,1390.581
310,781.2677
311,1064.382
312,190.17001
313,492.4347
314,338.82214
315,687.3662
316,522.9652
317,246.63287
318,964.5519
319,305.46997
320,278.20416
321,518.34326
322,637.9147
323,487.19492
324,873.2559
325,415.33728
326,411.6594
327,821.70013
328,733.30194
329,414.9657
330,610.65326
331,387.56964
332,666.1261
333,387.0633
334,287.78204
335,646.12897
336,667.1102
337,1079.6843
338,422.4666
339,853.23645
340,1171.7534
341,551.27185
342,1394.2344
343,1017.61487
344,519.1293
345,845.3819
346,1108.7465
347,887.21545
348,529.5735
349,682.03015
350,436.49323
351,967.24817
352,765.80505
353,800.6867
354,465.07776
355,423.36594
356,493.0099
357,518.54974
358,1323.1287
359,716.2645
360,250.4992
361,561.19147
362,326.515
363,1173.3779
364,900.01416
365,1079.2542
366,345.36176
367,441.49146
368,966.2325
369,793.3894
370,779.27814
371,399.56314
372,570.7413
373,731.8397
374,505.5183
375,835.05676
376,494.97653
377,1209.5513
378,268.43274
379,268.11243
380,724.306
381,643.94403
382,586.65436
383,1720.8545
384,581.43207
385,369.5142
386,640.5328
387,628.9072
388,1144.5557
389,613.9583
390,968.9382
391,473.17496
392,407.89716
393,280.7058
394,355.80646
395,1044.0693
396,891.78796
397,1323.5828
398,208.62338
399,417.00162
400,814.79285
401,1354.8414
402,1037.3029
403,613.51746
404,391.84448
405,642.24164
406,228.5354
407,209.45932
408,442.33002
409,287.00864
410,1044.7325
411,345.30173
412,168.69507
413,142.51656
414,396.90826
415,718.9183
416,582.6276
417,1287.1807
418,436.53668
419,358.04956
420,990.40564
421,367.18146
422,685.58923
423,1048.0519
424,1032.8314
425,743.6843
426,361.5931
427,501.45544
428,227.64671
429,264.244
430,529.7738
431,776.31366
432,801.5487
433,369.77094
434,184.81448
435,703.1854
436,1370.3206
437,263.0009
438,555.7616
439,790.3185
440,598.614
441,648.0713
442,434.07666
443,282.59924
444,786.47723
445,170.65738
446,2038.4863
447,298.7707
448,625.1599
449,511.0589
450,411.30292
451,528.72437
452,280.95438
453,182.91637
454,320.78925
455,811.06903
456,1179.8894
457,373.94763
458,410.55716
459,418.17682
460,492.63855
461,1213.2344
462,402.2771
463,673.1847
464,685.672
465,331.66302
466,343.7908
467,703.18884
468,448.26062
469,1384.7286
470,215.19125
471,582.51263
472,321.7436
473,1108.6079
474,639.8457
475,1455.5697
476,952.7224
477,294.23083
478,260.82407
479,276.4085
480,769.03973
481,347.3234
482,1139.8276
483,444.43347
484,290.71704
485,1295.0078
486,207.48277
487,1192.1079
488,192.74084
489,382.96863
490,605.8779
491,469.81186
492,507.3015
493,616.67957
494,308.03857
495,1389.4712
496,517.7692
497,238.28745
498,468.85046
499,310.08524
500,902.27057
501,611.9358
502,734.5071
503,385.94153
504,1126.1812
505,456.0833
506,1112.729
507,586.0651
508,704.02527
509,962.18805
510,815.3616
511,974.4868
512,202.0884
513,597.74176
514,700.4143
515,403.04385
516,944.1325
517,406.20386
518,674.6343
519,397.0211
520,1295.4415
521,378.12262
522,592.8386
523,547.1666
524,597.78973
525,941.9485
526,605.4614
527,372.3006
528,1003.9088
529,313.0874
530,722.818
531,567.39166
532,396.26614
533,631.3057
534,555.27136
535,499.31085
536,641.60266
537,573.93536
538,1092.6321
539,272.7901
540,765.82135
541,2020.2349
542,634.52167
543,1076.8845
544,501.8651
545,775.41315
546,565.9012
547,994.4101
548,474.84113
549,451.9217
550,401.2834
551,1418.2448
552,316.726
553,253.23022
554,1184.2758
555,476.06647
556,208.87961
557,646.902
558,539.4982
559,368.03967
560,797.6936
561,646.4342
562,352.21613
563,485.6569
564,642.5661
565,1072.86
566,539.805
567,264.51984
568,517.94226
569,1262.7493
570,535.1512
571,490.1744
572,427.01892
573,399.16116
574,192.24036
575,661.24506
576,157.23169
577,460.2641
578,674.1416
579,833.47546
580,891.9504
581,350.4497
582,880.2222
583,996.77277
584,615.1627
585,739.3115
586,275.49075
587,1158.6084
588,823.0791
589,1312.6321
590,427.9438
591,533.485
592,1410.978
593,330.23068
594,280.60858
595,638.28394
596,1194.7578
597,746.363
598,651.5502
599,585.78577
600,969.6532
601,1175.3519
602,643.93353
603,624.6909
604,1107.2527
605,633.7558
606,236.01337
607,897.32623
608,276.18835
609,464.1092
610,182.87167
611,581.47437
612,483.5251
613,505.13354
614,493.09845
615,361.5066
616,784.1314
617,1030.9465
618,1424.5131
619,191.7457
620,687.0904
621,326.612
622,233.35423
623,979.86633
624,417.6979
625,1838.29
626,457.9713
627,1297.9175
628,650.30756
629,788.3175
630,1084.3276
631,441.30737
632,489.01028
633,1230.0449
634,439.52936
635,410.97223
636,1040.5308
637,418.38895
638,771.38293
639,571.2857
640,762.38354
641,1585.2312
642,781.5205
643,564.43854
644,359.58295
645,773.17755
646,720.3403
647,629.68756
648,852.52313
649,653.751
650,945.73395
651,407.27512
652,1225.3937
653,615.5187
654,966.97644
655,374.04922
656,735.21246
657,801.20404
658,1392.9205
659,1099.9026
660,437.72864
661,1470.4407
662,217.74583
663,263.51736
664,883.6133
665,593.21814
666,1420.0168
667,1660.5647
668,1017.7815
669,241.51741
670,943.1075
671,712.944
672,622.7629
673,184.24333
674,636.52734
675,699.0939
676,1359.0148
677,1252.0381
678,599.9169
679,537.8276
680,1334.0233
681,490.88788
682,1304.066
683,435.45258
684,895.58276
685,300.97867
686,524.0035
687,597.8773
688,753.3358
689,490.79904
690,270.12827
691,427.12927
692,562.9987
693,864.035
694,1207.9194
695,576.06995
696,436.4015
697,470.56674
698,668.095
699,246.37303
700,442.57556
701,714.48694
702,212.96262
703,613.65216
704,440.8019
705,440.8019
706,429.29135
707,429.29135
708,533.6066
709,266.12256
710,342.5072
711,342.5072
712,351.32318
713,351.32318
714,406.8451
715,521.2898
716,541.7368
717,927.9286
718,579.4431
719,614.8141
720,1121.3286
721,948.18536
722,719.28784
723,513.27167
724,1136.0579
725,659.65295
726,452.90585
727,855.577
728,717.4972
729,841.7335
730,646.31964
731,1033.4429
732,1538.2357
733,194.8876
734,412.82755
735,264.0935
736,917.19543
737,641.3135
738,282.3895
739,1518.5034
740,368.1335
741,541.9022
